RequestId,Path,RequestedDuration,Priority,ArrivedAt,AdmittedAt,CompletedAt,WaitingTimeMs,ServiceTimeMs,TotalTimeMs
00b85be7-5fb3-4406-a757-c220051dd87f,/work,2000,Medium,03/22/2026 19:13:11,03/22/2026 19:13:11,03/22/2026 19:13:13,0,2021,2022
e6421b9a-46e7-4d70-ad4d-b4f0ed64089e,/work,2000,Medium,03/22/2026 19:13:13,03/22/2026 19:13:13,03/22/2026 19:13:15,0,2016,2016
5832b452-61cb-47f0-b9ce-56b12539b7dc,/work,2000,Medium,03/22/2026 19:13:13,03/22/2026 19:13:15,03/22/2026 19:13:17,2016,2010,4026
0cc02afd-3a1c-45b2-bee8-2923b184b5fe,/work,2000,Medium,03/22/2026 19:13:13,03/22/2026 19:13:17,03/22/2026 19:13:19,4026,2006,6032
b0aaca59-992d-4b28-8848-07d79b093805,/work,2000,Medium,03/22/2026 19:13:28,03/22/2026 19:13:28,03/22/2026 19:13:30,0,2005,2005
15c7ab10-7560-429f-b364-3254ce3443c0,/work,4000,Medium,03/22/2026 19:13:30,03/22/2026 19:13:30,03/22/2026 19:13:34,90,4000,4091
cbccde15-382b-4615-8333-48e4463cd922,/work,1000,Medium,03/22/2026 19:13:31,03/22/2026 19:13:34,03/22/2026 19:13:35,3754,1011,4765
e36733f7-a264-4a83-9dad-69b9030a9f0b,/work,1000,Medium,03/22/2026 19:13:35,03/22/2026 19:13:35,03/22/2026 19:13:36,0,1000,1000
32ef1c13-16e8-4096-b975-8fce1517cd5a,/work,1000,Medium,03/22/2026 19:13:35,03/22/2026 19:13:36,03/22/2026 19:13:37,1000,1005,2005
ace21343-1c46-4bb6-9977-f3f83e53a4c4,/work,1500,Low,03/22/2026 19:13:56,03/22/2026 19:13:56,03/22/2026 19:13:57,0,1505,1505
d2a8e4a3-7fdb-4360-9e12-702e98e4a45c,/work,500,High,03/22/2026 19:13:56,03/22/2026 19:13:57,03/22/2026 19:13:58,1200,500,1701
02553ab9-5920-4c2d-967d-bcfc5132e345,/work,1000,Medium,03/22/2026 19:13:56,03/22/2026 19:13:58,03/22/2026 19:13:59,1405,1000,2405
8a760a96-074a-42ad-96db-d86a53e0abe9,/work,700,High,03/22/2026 19:13:57,03/22/2026 19:13:59,03/22/2026 19:13:59,2112,700,2813
